ExerciseDate,ExerciseActivityName,ExerciseActiveDuration,ExerciseAverageHeartRate,ExerciseCalories,ExerciseDuration,ExerciseElevationGain,ExerciseSteps,ExerciseSedentaryMinutes,ExerciseLightMinutes,ExerciseFairlyActiveMinutes,ExerciseVeryActiveMinutes,ExerciseOutOfRangeMaxHR,ExerciseOutOfRangeMinHR,ExerciseOutOfRangeMinutes,ExerciseFatBurnMaxHR,ExerciseFatBurnMinHR,ExerciseFatBurnMinutes,ExerciseCardioMaxHR,ExerciseCardioMinHR,ExerciseCardioMinutes,ExercisePeakMaxHR,ExercisePeakMinHR,ExercisePeakMinutes,Speed,Pace,ExerciseDistance,Year,Month,Day,YearMonthDay
2018-12-12 22:19:14,Weights,2968000,107,420,2969000,21.000656,1003,5,10,5,29,96,30,17,135,96,28,164,135,4,220,164,0,0.0,0.0,0.0,2018,12,12,2018-12-12
2018-12-13 22:16:08,Weights,3164000,106,414,3166000,32.001312,865,12,19,2,19,96,30,21,135,96,24,164,135,6,220,164,1,0.0,0.0,0.0,2018,12,13,2018-12-13
2018-12-16 16:31:14,Run,2088000,159,579,2604000,187.001313,5492,0,0,0,35,96,30,0,135,96,1,164,135,19,220,164,15,6.475586206896552,555.9342251001108,3.74212,2018,12,16,2018-12-16
2018-12-17 19:13:17,Walk,1024000,97,129,1024000,0.0,1090,1,2,5,9,96,30,8,135,96,9,164,135,0,220,164,0,0.0,0.0,0.0,2018,12,17,2018-12-17
2018-12-17 22:00:18,Run,280000,133,54,858000,15.0,662,0,1,0,3,96,30,1,135,96,1,164,135,1,220,164,1,4.83345,744.8096080439437,0.381313,2018,12,17,2018-12-17
2018-12-19 23:04:55,Weights,1675000,137,356,1677000,22.001312,816,0,0,1,27,96,30,0,135,96,8,164,135,18,220,164,2,0.0,0.0,0.0,2018,12,19,2018-12-19
2018-12-20 22:29:42,Weights,1758000,109,243,1759000,22.998688,488,3,4,7,15,96,30,7,135,96,19,164,135,3,220,164,0,0.0,0.0,0.0,2018,12,20,2018-12-20
2018-12-21 22:13:18,Weights,2464000,98,277,2470000,15.0,773,11,7,6,17,96,30,21,135,96,20,164,135,0,220,164,0,0.0,0.0,0.0,2018,12,21,2018-12-21
2018-12-24 00:24:29,Walk,973000,88,128,973000,0.0,1592,1,1,1,13,96,30,11,135,96,5,164,135,0,220,164,0,0.0,0.0,0.0,2018,12,24,2018-12-24
2018-12-24 19:59:39,Run,2319000,159,646,2866000,180.0,6133,0,0,0,39,96,30,1,135,96,1,164,135,23,220,164,14,6.539830789133248,550.4729581049487,4.200294,2018,12,24,2018-12-24
2018-12-25 17:43:06,Walk,1024000,96,144,1024000,10.0,1616,1,2,0,14,96,30,7,135,96,8,164,135,0,220,164,0,0.0,0.0,0.0,2018,12,25,2018-12-25
2018-12-25 18:29:10,Walk,1075000,90,151,1075000,50.0,1642,0,1,4,13,96,30,13,135,96,5,164,135,0,220,164,0,0.0,0.0,0.0,2018,12,25,2018-12-25
2018-12-27 21:54:59,Weights,2234000,128,430,2237000,26.000656,795,0,1,4,33,96,30,1,135,96,26,164,135,9,220,164,2,0.0,0.0,0.0,2018,12,27,2018-12-27
2018-12-28 21:56:39,Weights,3041000,104,369,3043000,35.0,749,15,11,1,23,96,30,23,135,96,22,164,135,6,220,164,0,0.0,0.0,0.0,2018,12,28,2018-12-28
2018-12-29 18:43:22,Walk,1536000,102,228,1536000,60.0,2477,0,0,6,19,96,30,11,135,96,13,164,135,0,220,164,0,0.0,0.0,0.0,2018,12,29,2018-12-29
2018-12-29 19:07:02,Weights,4152000,132,829,4155000,38.999344,4094,2,2,3,62,96,30,4,135,96,33,164,135,31,220,164,1,0.0,0.0,0.0,2018,12,29,2018-12-29
2018-12-30 20:34:18,Walk,1024000,83,135,1024000,0.0,1551,1,1,4,11,96,30,14,135,96,3,164,135,0,220,164,0,0.0,0.0,0.0,2018,12,30,2018-12-30
2018-12-31 13:51:52,Run,1797000,157,489,2115000,137.998688,4763,0,0,0,30,96,30,0,135,96,1,164,135,19,220,164,9,6.296942904841402,571.7059935912936,3.129414,2018,12,31,2018-12-31
2018-12-31 20:35:37,Walk,2765000,68,304,2765000,60.0,3432,7,24,2,13,96,30,46,135,96,0,164,135,0,220,164,0,0.0,0.0,0.0,2018,12,31,2018-12-31
2019-01-01 16:27:51,Walk,5171000,88,664,5171000,60.0,6912,5,12,18,51,96,30,57,135,96,30,164,135,0,220,164,0,0.0,0.0,0.0,2019,1,1,2019-01-01
2019-01-01 18:34:08,Walk,1741000,87,223,1741000,30.0,2474,3,0,6,20,96,30,21,135,96,8,164,135,0,220,164,0,0.0,0.0,0.0,2019,1,1,2019-01-01
2019-01-02 22:00:07,Weights,3550000,109,383,3664000,37.998688,419,20,4,14,21,96,30,12,135,96,27,164,135,6,220,164,0,0.0,0.0,0.0,2019,1,2,2019-01-02
2019-01-03 22:07:51,Weights,3307000,111,494,3309000,21.000656,1013,1,7,13,34,96,30,12,135,96,38,164,135,5,220,164,0,0.0,0.0,0.0,2019,1,3,2019-01-03
2019-01-04 22:28:27,Weights,1863000,94,181,1870000,21.000656,356,10,15,2,4,96,30,18,135,96,13,164,135,0,220,164,0,0.0,0.0,0.0,2019,1,4,2019-01-04
2019-01-05 00:37:42,Walk,1536000,69,171,1536000,20.0,1847,2,13,4,6,96,30,26,135,96,0,164,135,0,220,164,0,0.0,0.0,0.0,2019,1,5,2019-01-05
2019-01-06 17:52:09,Run,2795000,160,799,3013000,263.999344,7427,0,0,0,47,96,30,0,135,96,1,164,135,27,220,164,18,6.3451667978533095,567.3609716954877,4.922391,2019,1,6,2019-01-06
2019-01-07 22:16:05,Weights,2401000,99,271,2404000,25.0,305,10,9,6,15,96,30,17,135,96,22,164,135,1,220,164,0,0.0,0.0,0.0,2019,1,7,2019-01-07
2019-01-09 22:16:34,Weights,2572000,114,409,2584000,32.998688,491,1,3,8,30,96,30,6,135,96,32,164,135,5,220,164,0,0.0,0.0,0.0,2019,1,9,2019-01-09
2019-01-11 22:41:16,Weights,1266000,118,220,1267000,12.998688,351,0,0,2,19,96,30,1,135,96,19,164,135,1,220,164,0,0.0,0.0,0.0,2019,1,11,2019-01-11
2019-01-14 22:28:47,Weights,5863000,113,813,5876000,518.999345,1731,26,10,8,53,96,30,32,135,96,40,164,135,23,220,164,2,0.0,0.0,0.0,2019,1,14,2019-01-14
2019-01-16 22:09:23,Weights,2802000,113,443,3123000,26.000656,502,0,2,8,36,96,30,4,135,96,40,164,135,3,220,164,0,0.0,0.0,0.0,2019,1,16,2019-01-16
